symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
BNTUSD,0.0,0.0,0.0,0.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
IMXUSD,0.0,0.0,0.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
SPELLUSD,0.0,0.0,0.0,0.0007725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
JASMYUSD,0.0,0.0,0.0,0.004978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
FLOWUSD,0.0,0.0,0.0,0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
GTCUSD,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
THETAUSD,-0.009,-1.172,0.75902909,0.755,0.759,2.9,0.755,3286.5,0.763,761.6,0.768,0.768,0.7,2152.2,1633.5824,2025-05-30 17:35:49.312,2025-05-31 17:35:49.312,175687,175713,27
TFUELUSD,0.0,0.0,0.0,0.0365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
OCEANUSD,0.0,0.0,0.0,0.3257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
LAZIOUSD,0.0,0.0,0.0,1.8901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
SANTOSUSD,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ALPINEUSD,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
PORTOUSD,0.0,0.0,0.0,1.7429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
RENUSD,0.0,0.0,0.0,0.060299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
CELRUSD,0.0,0.0,0.0,0.01625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
SKLUSD,0.0,0.0,0.0,0.02759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
VITEUSD,0.0,0.0,0.0,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
WAXPUSD,0.0,0.0,0.0,0.0469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
LTOUSD,0.0,0.0,0.0,0.0595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
FETUSD,-0.038,-4.859,0.75722751,0.789,0.744,729.1,0.755,2280.5,0.759,240.3,0.782,0.79,0.74,14441.1,10935.1982,2025-05-30 17:35:56.708,2025-05-31 17:35:56.708,486911,486974,64
BONDUSD,0.0,0.0,0.0,3.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
LOKAUSD,0.0,0.0,0.0,0.1802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ICPUSD,-0.084,-1.693,4.76420681,4.953,4.879,10.37,4.841,279.66,4.854,23.23,4.963,5.176,4.726,503.6,2399.25455,2025-05-30 17:35:38.928,2025-05-31 17:35:38.928,127798,127858,61
